author;comment;likeCount;publishedAt
@Amboala-z6f;Aceh lebih awal didiami manusia dibanding medan dan hukum batas wilayah ada di belanda karena indonesia dijajah oleh belanda ;0;2025-06-17T07:59:58Z
@aidilmotovlog8455;Saya orang sumut mendukung aceh Sdah jelas dari dulu itu punya wilayah aceh knp di masukan ke sumut gda hak sumut atas ke empat pulau itu;0;2025-06-17T07:57:00Z
@PutriMelati-zf7cm;Namanya z pulau lipan ;;
@harisubagio2962;Hidup GAM libat nkri kalo sampe 4 pulau d ambil s kuyuk boby;0;2025-06-17T07:48:21Z
@setiomugianto9254;saya orang jateng  mendukung aceh;0;2025-06-17T07:47:45Z
@harisubagio2962;ni gara gara keluarga s joko bikin gaduh lagi pemgalihan issu ijasahnya;1;2025-06-17T07:47:15Z
@atfansuratan;Pertahankan wilayahmu Aceh saya mendukung aceh dan dipertahankan bukan berarti lepas atau pisah ingin merdeka dr nkri  Salam dr jatengÃ°Å¸â€˜ÂÃ°Å¸â„¢Â;0;2025-06-17T07:41:37Z
@GitacintaDarisma;Seperti biasa      Indonesia ini aneh   kebanyakan    !? Sinyal byar pet     putus - sambung tak ada tindakan dr Telkomsel     ;;
@Duryat-d6l;Pecat saja pk prabowo mentri yg suka adu domba  bikin gaduh;1;2025-06-17T07:18:08Z
@Duryat-d6l;Mentri kok sukanya mengadu domba  dari dulu pulau tsb milik Aceh;1;2025-06-17T07:17:02Z
@lutfiauuu;Kamu orang Sumbar  dukung rakyat aceh;1;2025-06-17T07:00:29Z
@fransardiansyah3595;Org Sumut dukung Aceh  ;;
@arbainlubis2254;Saya mendukung sumut dan boby;0;2025-06-17T06:55:52Z
@ZahirmanBalai;Ga kepentingan itu bohong ada maksut ambil4 pulau mau bikin tambang migas untung ajaakal busuk mendagri dan boby  rakyat indonesia udah tahu untung blok medan untuk bagun tambang keluarga mulyono;0;2025-06-17T06:55:50Z
@AbiFikti-of5qf;Ko hadiah  dari Jokowi memangnya itu tanah Jokowi  gak malu keluarga Jokowi hak orang di serakai utang di mana2 rakyat suru bayar akan kalian tanggung ajap allah;0;2025-06-17T06:55:04Z
@odjosudardjo4892;Pa Prabowo jangan bikin gaduh  tidak harus nunggu pekan depan karena sudah jelas kepemilikannya ini bukan sengketa tapi SUMUT INGIN MEREBUT ;0;2025-06-17T06:49:42Z
@Bambang-b1l;Lagi lagi ternak Mulyono bikin gaduh   ;1;2025-06-17T06:47:18Z
@CekDin-n6f;Yang wewenang melobi tito;0;2025-06-17T06:45:28Z
@AsepKomara-eu7uy;prabowo jangan diem bae donk pk;0;2025-06-17T06:21:03Z
@RiyadiSupri;Macan dibangunin;;
@ayam-el2ly;Sedih aku kampung halamanku jadi rebutan pejabat2 rakuuus;0;2025-06-17T05:57:14Z
@reload3131;saya dukung aceh  dan lebih pilih sumatera lepas dr nkri drpd punya pejabat tak berguna yg merusak persatuan ;0;2025-06-17T05:56:21Z
@ayam-el2ly;Gak takut mati  kelen para pejabat   uang aja diotak kalian;0;2025-06-17T05:54:53Z
@meatymeat717;Pahlawan kesiangan datang lagi wkwkwk;0;2025-06-17T05:26:37Z
@antonidodi7487;Orang Padang mendukung gubenur Aceh pertahankan 4 pulau Aceh   hidup aceh;0;2025-06-17T04:56:59Z
@darmapriya1082;Paling disuruh ngelola bersama;0;2025-06-17T04:51:29Z
@Indra-i2i;Inih pasti dalang yh mulyono di renxana kan dari jaub2 hari melalui pejabat yg akitip2 titipin yh;0;2025-06-17T04:48:19Z
@Herdi123-t1v;Aceh harus kuat dan berani melawan monyt dalam negeti yg rakus dari dulupun jadi kapolri rakus dan busuk buktinya sambo hidup bahagia di tahanan itu karena si rakus dan si busuk kerja sama uang haram sudah tua bikin ulah tidak bisa lihar rakyat senang sumatera makin jijik lihat boby nyesal milih jalinsum hancur tidak ada perbaikan a bara a jamu hancur jalan   Dimana otakmu pejabat ;0;2025-06-17T04:23:01Z
@onoy1788;Mbelgedes omon3    Pekan depan  Tahun depan gk bakalan selesai   ;0;2025-06-17T04:16:17Z
@fitrihidayati724;Jangan bikin gaduh;0;2025-06-17T04:15:07Z
@EndangSaripudin-oz8wv;DILIHAT  DIGOGLE   SINGKIL   MASUK   SUMATRA    UTARA   BRO      !!!;0;2025-06-17T04:00:07Z
@SupriadiSupriadi-v7l;Br beberapa hari jd gubernur sumut sdh berani mau merebut pulau aceh  jangan lah buat keributan lagi di Aceh pak Boby;0;2025-06-17T03:59:44Z
@HeriWuryan;Hari gini masih rebutan tanah dinegeri sendiri   rebutan aj tanah dinegara lain sekalian rebut malaysia gt     ;0;2025-06-17T03:57:43Z
@ilmudansejarah4510;Padahal ini hanya permainan   Ntah dari asing untuk membangun pemberontakan Aceh  Atau dari elit partai lawan pak Jokowi  Masyarakat harus bijak jangan mau di profokasi  ;1;2025-06-17T03:52:31Z
@hengkigultom;Saya warga Sumatera Utara dukung aceh;0;2025-06-17T03:43:44Z
@ahazz0572;Cuma satu solusinya  singkirkan TITO KARNAVIAN dari kabinet  setelah itu  baru si BAHLUL;0;2025-06-17T03:42:42Z
@kosimpermana6018;PemantiknyaKegaduhan4PulauDilautSingkil JelasSibobiMenantuSijokowiKombayana  GerombolanSijokowidodornaManusiaDolim ;0;2025-06-17T03:40:13Z
@MuhammadHariyanto-j9c;Tito ngesro ae bikin rame ae segera pecat tito;0;2025-06-17T03:37:45Z
@mirzanizan2237;Kami orang Sulteng     Mendukung Aceh Ã¢ÂÂ¤;1;2025-06-17T03:06:26Z
@DahyarAbdullah;Tidak di kaji segala  cukup lihat dari sejarah nya dan dari jaman nenek moyang itu pulau milik propinsi aceh;0;2025-06-17T02:59:59Z
@Sutendi-c1b;Jaga kepulauan kita jangan ada yang di curi dan di rusak lagi rakyat dh muak alam kita di rusak;0;2025-06-17T02:55:01Z
@adrinotaslim2116;Mendagri kayaknya ga duka negri ini damai ys !;0;2025-06-17T02:54:22Z
@sasikactby5747;indonesia jauh panggang dari api untuk menjajah bangsa lain negara sendiri  di hancurkan untuk negara lain;0;2025-06-17T02:50:51Z
@AHNKreatif17;UU lebih tinggi dari Pemendagri;1;2025-06-17T02:43:50Z
@iswaluyo1639;Aceh cinta damai Ã¢ÂÂ¤;;
@masrizalsyarif2010;Sumbar mendukung  Aceh;0;2025-06-17T02:29:23Z
